Лесные ягоды,food,1,0
Грибы,food,2,0
Консервированная тушёнка,food,20,0.3
Консервированные овощи,food,10,0.3
Сухпаёк,food,10,0.3
Мясо животного,food,10,0.3
Жаренное мясо животного,food,30,0.3
Рыба,food,10,0.2
Жаренная рыба,food,30,0.2
Человеческое мясо,food,10,0.3
Жаренное человеческое мясо,food,30,0.3
Антибиотики,consumable,0,0.1
Бинты,consumable,0,0.1
Алкоголь,consumable,0,0.3
Маленький рюкзак,storage,5,0.3
Походный рюкзак,13,storage,15,1
Тёплая одежда,clothes,20,1
Ледоруб,melee,0,0.5
Складной нож,melee,0,0.2
Топор,melee,0,1
Деревянный кол,melee,0,0.5
Пистолет,ranged,0,0.5
Ружьё,ranged,0,1
Лук,ranged,0,0.5
Пистолетный патрон,ammo,0,0.1
Ружейный патрон,ammo,0,0.1
Стрела,ammo,0,0.1
Сеть,trap,0,0.2
Капкан,trap,0,1
Древесина,resource,0,0.3
Камень,resource,0,0.3
Шкура,resource,0,0.3
Ткань,resource,0,0.1
Швейные принадлежности,other,0,0.1
Компас,other,0,0.2
Рация,other,0,0.2
Фонарик,other,0,0.2
Зажигалка,other,0,0.1
Факел,other,0,0.2
Коктейль Молотова,other,0,0.3
Бутылка,other,0,0.2
Книга обрядов,other,0,0.3
Бинокль,other,0,0.2
Сигнальный огонь,other,0,0.2
